,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
24689,24689,28041,2019,3,1,24.21,-98.49,33.74786,19.31686,33.74786,19.31686,25.07709,25.07709
24696,24696,28042,2019,3,1,23.18,-99.27,32.67831,16.40741,32.67831,16.40741,22.76422,22.76422
24703,24703,28043,2019,3,1,22.77,-99.28,32.98212,17.24609,32.98212,17.24609,23.34772,23.34772
24710,24710,28044,2019,3,1,23.22,-99.08,33.07187,17.18158,33.07187,17.18158,23.47595,23.47595
24717,24717,28045,2019,3,1,23.38,-98.02,31.10565,20.12207,31.10565,20.12207,24.06613,24.06613
24724,24724,28046,2019,3,1,23.17,-97.95,30.23538,20.39709,30.23538,20.39709,23.94839,23.94839
24731,24731,28047,2019,3,1,24.36,-98.62,33.96799,19.16946,33.96799,19.16946,25.18036,25.18036
24738,24738,28048,2019,3,1,25.37,-97.98,31.62091,18.70209,31.62091,18.70209,23.90948,23.90948
24745,24745,28050,2019,3,1,23.96,-98.65,34.54974,19.01654,34.54974,19.01654,25.48776,25.48776
24752,24752,28052,2019,3,1,24.62,-98.3,32.3277,19.1824,32.3277,19.1824,24.24585,24.24585
24759,24759,28053,2019,3,1,23.47,-99.43,32.00626,14.96124,32.00626,14.96124,21.75296,21.75296
24766,24766,28054,2019,3,1,22.52,-98.13,30.69092,20.88638,30.69092,20.88638,24.59604,24.59604
24773,24773,28055,2019,3,1,22.45,-98.2,30.6644,20.84683,30.6644,20.84683,24.60345,24.60345
24780,24780,28056,2019,3,1,23.32,-99.02,33.16214,17.13574,33.16214,17.13574,23.57697,23.57697
24787,24787,28057,2019,3,1,22.8,-98.7,33.84363,19.44531,33.84363,19.44531,25.18423,25.18423
24794,24794,28058,2019,3,1,22.79,-98.72,33.87463,19.44861,33.87463,19.44861,25.20526,25.20526
24801,24801,28059,2019,3,1,24.57,-99.55,32.53848,16.44217,32.53848,16.44217,23.38245,23.38245
24808,24808,28060,2019,3,1,24.55,-99.62,31.93588,15.75143,31.93588,15.75143,22.66599,22.66599
24815,24815,28062,2019,3,1,25.12,-98.59,33.54279,18.89059,33.54279,18.89059,24.98563,24.98563
24822,24822,28063,2019,3,1,23.57,-99.75,30.52863,12.91388,30.52863,12.91388,20.13284,20.13284
24829,24829,28064,2019,3,1,22.5,-98.83,34.02509,19.6091,34.02509,19.6091,25.42456,25.42456
24836,24836,28065,2019,3,1,27.49,-99.51,30.51562,13.96616,30.51562,13.96616,20.78848,20.78848
24843,24843,28066,2019,3,1,22.53,-99.21,33.14334,17.71786,33.14334,17.71786,23.75491,23.75491
24850,24850,28067,2019,3,1,26.58,-99.18,32.06946,16.63422,32.06946,16.63422,23.3288,23.3288
24857,24857,28069,2019,3,1,22.84,-99.33,32.93781,17.09976,32.93781,17.09976,23.22479,23.22479
24864,24864,28070,2019,3,1,24.07,-98.74,34.67328,19.11313,34.67328,19.11313,25.62802,25.62802
24871,24871,28071,2019,3,1,23.3,-99.55,32.00659,15.155,32.00659,15.155,21.83554,21.83554
24878,24878,28072,2019,3,1,23.65,-98.08,31.79608,19.99686,31.79608,19.99686,24.21655,24.21655
24885,24885,28073,2019,3,1,23.18,-99.46,32.49673,16.07376,32.49673,16.07376,22.4884,22.4884
24892,24892,28074,2019,3,1,23.73,-98.75,34.16733,18.29077,34.16733,18.29077,24.88995,24.88995
24899,24899,28075,2019,3,1,23.57,-99.42,32.05875,15.04602,32.05875,15.04602,21.85919,21.85919
24906,24906,28076,2019,3,1,23.0,-98.72,33.75522,19.28876,33.75522,19.28876,25.00977,25.00977
24913,24913,28077,2019,3,1,24.18,-99.6,31.8652,15.46375,31.8652,15.46375,22.25021,22.25021
24920,24920,28079,2019,3,1,26.1,-98.28,31.81308,17.20889,31.81308,17.20889,23.41858,23.41858
24927,24927,28080,2019,3,1,22.83,-99.02,33.51923,18.4819,33.51923,18.4819,24.40118,24.40118
24934,24934,28081,2019,3,1,22.92,-98.6,33.52863,19.41068,33.52863,19.41068,24.96332,24.96332
24941,24941,28082,2019,3,1,25.87,-98.09,31.97784,17.72067,31.97784,17.72067,23.69397,23.69397
24948,24948,28084,2019,3,1,24.58,-98.95,33.78751,18.70413,33.78751,18.70413,24.9494,24.9494
24955,24955,28085,2019,3,1,22.64,-98.92,33.85709,19.22913,33.85709,19.22913,25.08548,25.08548
24962,24962,28086,2019,3,1,24.85,-98.16,31.95108,18.95499,31.95108,18.95499,24.04391,24.04391
24969,24969,28087,2019,3,1,23.08,-98.79,33.75327,18.91248,33.75327,18.91248,24.81805,24.81805
24976,24976,28088,2019,3,1,23.55,-98.04,31.35666,20.07602,31.35666,20.07602,24.11588,24.11588
24983,24983,28089,2019,3,1,23.61,-98.61,33.65305,18.1351,33.65305,18.1351,24.47189,24.47189
24990,24990,28091,2019,3,1,22.81,-99.84,31.48999,14.54156,31.48999,14.54156,21.1358,21.1358
24997,24997,28092,2019,3,1,23.77,-98.2,32.37155,19.86804,32.37155,19.86804,24.37198,24.37198
25004,25004,28093,2019,3,1,26.25,-98.72,32.37161,16.93427,32.37161,16.93427,23.51471,23.51471
25011,25011,28094,2019,3,1,24.69,-98.83,33.88226,18.99911,33.88226,18.99911,25.14188,25.14188
25018,25018,28095,2019,3,1,26.37,-99.03,32.09375,16.77643,32.09375,16.77643,23.38055,23.38055
25025,25025,28096,2019,3,1,23.42,-99.31,32.22931,15.34122,32.22931,15.34122,22.05328,22.05328
25032,25032,28097,2019,3,1,22.53,-98.93,33.86859,19.24197,33.86859,19.24197,25.11194,25.11194
25039,25039,28098,2019,3,1,23.21,-98.35,32.2197,19.61487,32.2197,19.61487,24.32269,24.32269
25046,25046,28099,2019,3,1,26.26,-98.81,32.35995,16.92139,32.35995,16.92139,23.50778,23.50778
25053,25053,28100,2019,3,1,26.23,-98.6,32.31824,16.97827,32.31824,16.97827,23.51093,23.51093
25060,25060,28101,2019,3,1,26.03,-98.22,31.87747,17.35126,31.87747,17.35126,23.50858,23.50858
25067,25067,28102,2019,3,1,26.22,-98.57,32.29895,17.00513,32.29895,17.00513,23.51428,23.51428
25074,25074,28103,2019,3,1,26.19,-98.48,32.15662,17.0639,32.15662,17.0639,23.48343,23.48343
25081,25081,28104,2019,3,1,25.97,-98.13,31.98331,17.5737,31.98331,17.5737,23.64243,23.64243
